timestamp_us,adc_raw
1175332060,1880
1175333060,1853
1175334060,1836
1175335060,1819
1175336060,1834
1175337060,1852
1175338060,1853
1175339060,1856
1175340060,1871
1175341060,1884
1175342060,1886
1175343060,1876
1175353487,1836
1175354487,1849
1175355487,1851
1175356487,1867
1175357487,1872
1175358487,1874
1175359487,1877
1175360487,1872
1175361487,1902
1175362487,1909
1175363487,1909
1175364487,1903
1175365487,1879
1175366487,1851
1175367487,1835
1175368487,1825
1175369487,1836
1175370487,1859
1175371487,1867
1175372487,1871
1175382914,1857
1175383914,1824
1175384914,1817
1175385914,1827
1175386914,1851
1175387914,1855
1175388914,1855
1175389914,1868
1175390914,1872
1175391914,1885
1175392914,1894
1175393914,1901
1175394914,1920
1175395914,1932
1175396914,1915
1175397914,1903
1175398914,1873
1175399914,1821
1175400914,1824
1175411368,1904
1175412368,1913
1175413368,1907
1175414368,1895
1175415368,1892
1175416368,1854
1175417368,1826
1175418368,1818
1175419368,1829
1175420368,1849
1175421368,1872
1175422368,1863
1175423368,1872
1175424368,1879
1175425368,1895
1175426368,1884
1175427368,1875
1175428368,1904
1175429368,1874
1175430368,1898
1175440795,1879
1175441795,1886
1175442795,1901
1175443795,1884
1175444795,1892
1175445795,1907
1175446795,1904
1175447795,1887
1175448795,1872
1175449795,1840
1175450795,1819
1175451795,1841
1175452795,1817
1175453795,1854
1175454795,1860
1175455795,1871
1175456795,1861
1175457795,1892
1175458795,1877
1175459795,1876
1175470247,1856
1175471247,1840
1175472247,1840
1175473247,1836
1175474247,1843
1175475247,1851
1175476247,1848
1175477247,1865
1175478247,1900
1175479247,1922
1175480247,1921
1175481247,1911
1175482247,1893
1175483247,1849
1175484247,1836
1175485247,1823
1175486247,1828
1175487247,1859
1175488247,1862
1175489247,1857
1175499666,1855
1175500666,1825
1175501666,1808
1175502666,1817
1175503666,1848
1175504666,1852
1175505666,1857
1175506666,1855
1175507666,1867
1175508666,1876
1175509666,1872
1175510666,1888
1175511666,1911
1175512666,1956
1175513666,1923
1175514666,1917
1175515666,1891
1175516666,1856
1175517666,1837
1175518666,1819
1175529093,1905
1175530093,1901
1175531093,1897
1175532093,1872
1175533093,1843
1175534093,1834
1175535093,1823
1175536093,1839
1175537093,1856
1175538093,1870
1175539093,1879
1175540093,1876
1175541093,1889
1175542093,1887
