timestamp_us,adc_raw
268512594,3873
268513594,3882
268514594,3866
268515594,3870
268525996,3873
268526996,3877
268527996,3870
268528996,3877
268529996,3888
268530996,3883
268531996,3877
268532996,3872
268533996,3891
268534996,3865
268535996,3869
268536996,3861
268537996,3833
268538996,3883
268539996,3870
268540996,3884
268541996,3872
268542996,3871
268543996,3875
268544996,3897
268545996,3872
268546996,3879
268547996,3874
268548996,3888
268559415,3870
268560415,3953
268561415,3882
268562415,3874
268563415,3877
268564415,3878
268565415,3877
268566415,3882
268567415,3887
268568415,3862
268569415,3884
268570415,3877
268571415,3875
268572415,3869
268573415,3871
268574415,3856
268575415,3872
268576415,3867
268577415,3847
268578415,3885
268579415,3875
268580415,3868
268581415,3871
268582415,3856
268583415,3883
268593807,3885
268594807,3867
268595807,3887
268596807,3879
268597807,3867
268598807,3883
268599807,3906
268600807,3884
268601807,3873
268602807,3875
268603807,3920
268604807,3873
268605807,3872
268606807,3849
268607807,3874
268608807,3875
268609807,3876
268610807,3868
268611807,3877
268612807,3869
268613807,3877
268614807,3858
268615807,3875
268616807,3869
268627236,3876
268628236,3873
268629236,3904
268630236,3878
268631236,3887
268632236,3875
268633236,3859
268634236,3876
268635236,3887
268636236,3878
268637236,3872
268638236,3875
268639236,3869
268640236,3883
268641236,3878
268642236,3875
268643236,3874
268644236,3885
268645236,3874
268646236,3882
268647236,3947
268648236,3869
268649236,3875
268650236,3874
268660647,3865
268661647,3865
268662647,3865
268663647,3885
268664647,3889
268665647,3881
268666647,3888
268667647,3883
268668647,3876
268669647,3874
268670647,3862
268671647,3889
268672647,3881
268673647,3879
268674647,3882
268675647,3879
268676647,3884
268677647,3873
268678647,3869
268679647,3867
268680647,3871
268681647,3877
268682647,3879
268683647,3883
268694050,3877
268695050,3875
268696050,3857
268697050,3884
268698050,3804
268699050,3869
268700050,3855
268701050,3857
268702050,3888
268703050,3871
268704050,3863
268705050,3882
268706050,3877
268707050,3850
268708050,3889
268709050,3852
268710050,3856
268711050,3902
268712050,3902
268713050,3869
268714050,3910
268715050,3874
268716050,3877
268717050,3888
268727469,3883
268728469,3881
268729469,3867
268730469,3908
268731469,3872
268732469,3862
268733469,3876
268734469,3875
268735469,3908
268736469,3862
268737469,3917
268738469,3877
268739469,3885
268740469,3877
268741469,3874
268742469,3887
268743469,3883
268744469,3873
268745469,3869
268746469,3885
268747469,3885
268748469,3876
268749469,3871
268750469,3873
268751469,3885
268761861,3888
268762861,3881
268763861,3885
268764861,3874
268765861,3882
268766861,3879
268767861,3883
268768861,3883
268769861,3870
268770861,3879
268771861,3867
268772861,3877
268773861,3871
268774861,3883
268775861,3875
268776861,3861
268777861,3884
268778861,3861
268779861,3883
268780861,3885
268781861,3897
268782861,3879
268783861,3879
268784861,3872
268795281,3883
268796281,3882
268797281,3875
268798281,3872
268799281,3885
268800281,3882
268801281,3889
268802281,3887
268803281,3883
268804281,3878
268805281,3870
268806281,3872
268807281,3882
268808281,3874
268809281,3886
268810281,3882
268811281,3878
268812281,3874
268813281,3862
268814281,3862
268815281,3877
268816281,3879
268817281,3871
268818281,3885
268828701,3869
268829701,3864
268830701,3869
268831701,3883
268832701,3877
268833701,3874
268834701,3881
268835701,3856
268836701,3872
268837701,3879
268838701,3871
268839701,3866
268840701,3857
268841701,3884
268842701,3886
268843701,3870
268844701,3885
268845701,3861
268846701,3877
268847701,3874
268848701,3878
268849701,3883
268850701,3888
268851701,3872
268862103,3883
268863103,3857
268864103,3876
268865103,3866
268866103,3878
268867103,3870
268868103,3875
268869103,3870
268870103,3861
